user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,factual_mismatch,answerable
"Per quanto riguarda gli allevamenti con equidi non DPA o a indirizzo misto, dove devono essere inserite le CL?","Non ci sono informazioni specifiche nei documenti forniti riguardo all'inserimento delle CL (Classificazioni) per gli allevamenti con equidi non DPA o a indirizzo misto. Pertanto, non posso fornire una risposta precisa a questa domanda.","Come da indicazioni del Ministero (capitolo 4 del Piano Farmacosorveglianza) i controlli per equidi non DPA devono essere caricati sul portale Vetinfo – Sistema informativo nazionale della farmacosorveglianza – sezione ""Verifiche da remoto, Controlli ufficiali, Indicatori"" – voce ""Controllo ufficiali"" utilizzando l’apposita sezione. Nel caso di allevamenti a indirizzo misto è necessario compilare due CL, una su ogni sistema.",1.0,0.0,,0.0,0.1481,OK,True
Qual è la differenza tra veterinario incaricato ed aziendale?,"La differenza principale tra il veterinario incaricato e il veterinario aziendale risiede nel loro ruolo e nelle responsabilità all'interno dell'azienda. 

- **Veterinario Aziendale**: È un professionista designato specificamente per seguire un allevamento. Ha il compito di garantire la salute e il benessere degli animali, gestendo le pratiche veterinarie quotidiane e monitorando le condizioni di allevamento. La sua presenza è fondamentale per l'attuazione di procedure di biosicurezza e per la registrazione dei trattamenti farmacologici.

- **Veterinario Incaricato**: Può essere un veterinario libero professionista che fornisce consulenze e supporto all'azienda, ma non è necessariamente presente in modo continuativo come il veterinario aziendale. Il suo ruolo può includere la supervisione di specifiche pratiche veterinarie o la consulenza su questioni sanitarie.

Entrambi i ruoli sono essenziali per garantire il benessere animale, ma il veterinario aziendale ha un impegno più diretto e costante nell'allevamento.","La figura del veterinario aziendale è definita dagli articoli 3 e 4 del Decreto del Ministro della salute 7 dicembre 2017: è un veterinario privato scelto volontariamente dall’operatore e svolge le sue funzioni in base a un rapporto formale con l’operatore che si instaura attraverso la sottoscrizione, da parte di entrambi, dello schema di designazione di cui all’allegato 3 del DM. In ClassyFarm può visualizzare tutti i dati relativi alle aziende alle quali è associato, compreso il farmaco. Il veterinario incaricato viene incaricato dall’operatore per la compilazione dei questionari relativi alla valutazione del rischio per il benessere animale e la biosicurezza; in ClassyFarm può visualizzare solo le checklist che ha compilato.",0.5,0.9534,,0.0,0.5851,OK,True
Perché non vedo la CL in Dashboard?,"Dopo 48 ore, sarà possibile accedere al cruscotto interattivo: selezionare ""Dashboard"".","Il report è visibile entro 48 ore dalla data di caricamento. Assicurarsi di aver associato l’azienda, di aver compilato correttamente la checklist e che sia presente la data di caricamento.",1.0,0.3999,0.5271,0.5,0.1158,OK,True
"Perché esce la scritta ""Errore"" quando cerco un allevamento con la app?","La scritta ""Errore"" può apparire quando si cerca un allevamento con l'app a causa di un problema di autenticazione. Per risolvere questo problema, puoi provare a ricaricare la pagina seguendo il punto 4.1 della guida, oppure effettuare il Logout e ripartire dal primo passaggio per tentare nuovamente l'accesso, come indicato nel punto 4.2 della guida [Guida_Inserimento_Checklist_Benessere_e_biosicurezza_Bovino_11.12.2023.pdf](https://www.classyfarm.it/index.php/register-it).

⏰ **Nota Temporale**: 24 ore","È necessario aggiornare l’app; in alternativa è possibile utilizzare il sistema ""Questionari"".",0.5,0.9195,0.0,0.0,0.1199,OK,True
Perché non riesco ad associare l’azienda?,"Potresti avere difficoltà ad associare l'azienda per vari motivi. Assicurati di seguire questi passaggi:

1. Accedi al sistema e seleziona l'opzione ""Selezione Azienda"".
2. Clicca su ""Nuovo Allevamento"".
3. Inserisci correttamente il codice aziendale e clicca su ""Verifica"". Assicurati che il codice sia valido.
4. Seleziona l'azienda dall'elenco recuperato.

Se hai già seguito questi passaggi e continui a riscontrare problemi, verifica che il tuo profilo abbia i permessi necessari per associare un'azienda. In caso di ulteriori difficoltà, considera di contattare il supporto tecnico per assistenza.",È possibile che l’azienda sia associata a un altro veterinario aziendale.,0.5556,0.7019,0.7155,0.0,0.1385,OK,True
Come faccio a cancellare una CL?,"Per cancellare una check-list (CL) nel sistema integrato ""ClassyFarm"", segui questi passaggi:

1. Accedi alla home page del sistema, dove puoi visualizzare l'elenco dei questionari.
2. Se il questionario che desideri cancellare non è stato completato, puoi cliccare sull'icona a forma di ""cestino"" accanto al questionario per procedere con la cancellazione.
3. Se il questionario è stato completato e caricato, tieni presente che non sarà possibile cancellarlo. I questionari caricati possono essere modificati solo entro una settimana dall'upload; dopo questo termine, non sarà più possibile apportare modifiche.

In sintesi, puoi cancellare solo i questionari non completati utilizzando l'icona ""cestino"". I questionari completati non possono essere cancellati.",Entro 10 giorni dalla data di caricamento è possibile cancellare una CL.,0.875,0.5997,,0.0,0.1514,OK,True
Come faccio a modificare una CL?,"Per modificare una CL (Checklist), segui questi passaggi:

1. **Seleziona il questionario da modificare**: Accedi al sistema e seleziona il questionario di interesse.
2. **Clicca su ""Azioni""**: Dopo aver selezionato il questionario, clicca sul pulsante ""Azioni"".
3. **Scegli ""Modifica""**: Seleziona l'opzione ""Modifica"" per apportare le modifiche necessarie.
4. **Apporta le modifiche**: Effettua le modifiche desiderate nel questionario.
5. **Giustifica le variazioni**: Assicurati di giustificare le modifiche nei campi di testo dedicati, specificando il motivo della variazione.
6. **Carica il nuovo controllo**: Una volta completate le modifiche, carica il nuovo controllo.

Se hai bisogno di modificare la data relativa alle prescrizioni, puoi utilizzare la funzione ""Copia"" per creare una copia identica del controllo e poi procedere con le modifiche necessarie.",Entro 10 giorni dalla data di caricamento è possibile modificare una CL.,1.0,0.5529,0.0,0.0,0.1594,OK,True
Perché non riesco a trovare l’allevamento quando compilo una CL?,"*Gli utenti ufficiali sono autorizzati a effettuare la compilazione per il proprio territorio di competenza. Qualora si inserisca un codice e non venga visualizzato alcun risultato, si prega di contattare l'assistenza inviando un'email a info@classyfarm.it.",Prima di inserire una CL è necessario associare l’azienda; se l’allevamento ha cambiato ragione sociale è necessario effettuare una nuova associazione.,1.0,0.3735,0.7603,1.0,0.1051,OK,True
A chi devo inviare l’associazione Operatore–Veterinario?,"Devi inviare l'associazione Operatore–Veterinario all'ASL della tua località e all'Ordine dei Medici Veterinari della stessa area. Assicurati di compilare il ""Modulo di richiesta di associazione all'operatore"", disponibile sul sito [www.classyfarm.it](https://www.classyfarm.it).","I moduli di associazione Operatore–Veterinario devono essere caricati in ClassyFarm nell’apposita sezione ""Seleziona azienda"" nel momento in cui viene associato l’allevamento.",0.75,0.6091,0.6782,1.0,0.1826,OK,True
Come devono essere i pavimenti delle stalle dei suini?,"I pavimenti delle stalle dei suini devono rispettare specifiche caratteristiche per garantire il benessere degli animali. Ecco i requisiti principali:

1. **Antisdrucciolevolezza e Assenza di Asperità**: I pavimenti devono essere progettati per essere antisdrucciolevoli e privi di asperità, al fine di prevenire lesioni ai suini.

2. **Superficie Adeguata**: In assenza di lettiera, i pavimenti devono costituire una superficie rigida, piana e stabile, adeguata alle dimensioni e al peso dei suini.

3. **Pulizia e Manutenzione**: È fondamentale che gli escrementi, l'urina e i foraggi non mangiati vengano rimossi regolarmente per minimizzare odori sgradevoli e la presenza di insetti o roditori.

4. **Tipologie di Pavimentazione**: Sono ammesse diverse tipologie di pavimentazione, tra cui:
   - Pavimentazione in calcestruzzo fessurato con misure idonee.
   - Pavimento pieno.
   - Grigliato in plastica o in metallo.
   - Pavimento pieno con lettiera permanente.

5. **Misure per Pavimenti Fessurati**: Se si utilizzano pavimenti fessurati, le aperture devono rispettare specifiche dimensioni:
   - Ampiezza massima delle aperture: 11 mm per lattonzoli, 14 mm per suinetti, 18 mm per suini all'ingrasso.
   - Ampiezza minima dei travetti: 50 mm per lattonzoli e suinetti, 80 mm per suini all'ingrasso, scrofette dopo la fecondazione e scrofe.

6. **Condizioni di Adeguatezza**: La condizione di adeguatezza dei pavimenti è definita dalla presenza di tutti i parametri richiesti. Anche la mancanza di un solo parametro compromette la conformità.

7. **Superficie Libera**: Per le scrofette dopo la fecondazione e le scrofe, è necessario garantire che una parte della superficie totale a disposizione per ciascun animale sia costituita da pavimento pieno continuo, con aree specifiche di almeno 0,95 mq per scrofetta e 1,3 mq per scrofa.

Questi requisiti sono fondamentali per garantire il benessere degli animali e la conformità alle normative vigenti.","I pavimenti devono essere progettati in modo da essere antisdrucciolevoli e privi di asperità, per prevenire lesioni ai suini. Devono essere mantenuti in modo tale da non causare danni o sofferenze agli animali e devono essere adeguati alle dimensioni e al peso dei suini. Se non è presente una lettiera nel recinto, i pavimenti devono costituire una superficie rigida, piana e stabile. Consulta D.Lgs. 122/2011, allegato 1, parte I, punto 5.",1.0,0.8984,0.9627,0.75,0.9524,OK,True
Come devo progettare le strutture di stabulazione delle galline?,"Per progettare le strutture di stabulazione delle galline, è fondamentale seguire alcune linee guida specifiche che garantiscano il benessere animale. Ecco i passaggi da considerare:

1. **Adeguatezza delle Strutture**: Le strutture devono essere progettate in modo da non essere nocive e devono consentire alle galline di esprimere il loro repertorio comportamentale naturale. È essenziale che le strutture non presentino rischi per la salute degli animali.

2. **Gestione delle Situazioni Particolari**: È necessario disporre di strutture suppletive adeguate, come un'infermeria, per gestire situazioni particolari.

3. **Densità di Allevamento**: Considerare non solo la densità di allevamento, ma anche la capacità delle galline di adattarsi alle strutture in cui sono allevate.

4. **Progettazione delle Gabbie**: Le gabbie devono essere progettate in modo che le galline adulte possano essere ritirate senza subire sofferenze inutili o ferite. È consigliato effettuare una verifica pratica per accertarsi che non ci siano superfici taglienti o sporgenti.

5. **Sistemi a Più Piani**: È previsto l'uso di strutture a più piani, poiché le galline tendono a rifugiarsi ai livelli superiori per riposare. Tuttavia, il numero massimo di livelli sovrapposti non deve superare quattro. È compito del veterinario ufficiale verificare il rispetto di questo requisito.

6. **Altezza Libera nei Sistemi Alternativi**: Nei sistemi alternativi di allevamento, come le voliere, l'altezza libera minima tra i vari livelli deve essere di almeno 45 cm.

7. **Prevenzione della Fuga**: Le strutture devono essere progettate per prevenire la fuga delle galline, garantendo un ambiente controllato e sicuro.

8. **Dimensioni delle Mangiatrici**: Ogni gallina deve avere a disposizione almeno 4 cm di lunghezza nella mangiatoia. È necessario verificare che lo spazio disponibile rispetti questi parametri.

9. **Posatoi**: I posatoi devono offrire stabilità e non devono essere scivolosi. Devono essere sufficientemente larghi per permettere una buona presa da parte delle zampe delle galline.

10. **Verifica delle Dimensioni**: Assicurarsi che le dimensioni del fessurato calpestabile siano adeguate rispetto alle dimensioni delle zampe delle galline e che la pavimentazione consenta il passaggio delle deiezioni.

Seguendo questi passaggi, si può garantire che le strutture di stabulazione siano progettate in modo da promuovere il benessere delle galline ovaiole.","Le strutture di stabulazione devono essere progettate in modo da non essere nocive e devono permettere alle galline di esprimere il loro repertorio comportamentale naturale. È necessario che le strutture presentino condizioni microclimatiche adeguate all'interno, per non compromettere il benessere degli animali; tali condizioni includono temperatura, umidità e qualità dell'aria.",1.0,0.899,0.906,0.5,0.3074,OK,True
Come faccio a salvare la checklist che ho compilato?,"Per salvare la checklist che hai compilato, segui questi passaggi:

1. Clicca sul pulsante ""Salva"" una volta completata la compilazione della checklist.
2. Apparirà una finestra di avviso che conferma che il questionario è completo e può essere caricato. Clicca su ""Ok"" per confermare.
3. Successivamente, clicca su ""Carica"" per avviare il caricamento del questionario.
4. Dopo aver completato il caricamento, comparirà un'altra finestra che conferma che il questionario è stato caricato con successo; anche in questo caso, clicca su ""Ok"".
5. Infine, per uscire dal questionario appena completato e tornare alla home, clicca sull'icona ""Albero di navigazione"" e seleziona ""Home"".

Assicurati di seguire questi passaggi per garantire che la tua checklist sia salvata correttamente.","Una volta completata la compilazione della checklist, è necessario cliccare sul pulsante ""Salva"". A questo punto appare una finestra di avviso che conferma il completamento del questionario con il messaggio ""Questionario Completo – Questo questionario può essere caricato""; per confermare cliccare su ""Ok"". Successivamente cliccare su ""Carica"" per caricare il questionario. Verrà visualizzata una finestra di avviso che conferma il caricamento del questionario con il messaggio ""Questo questionario è stato caricato""; cliccare su ""Ok"" per confermare.",1.0,0.8074,0.3562,1.0,0.9718,OK,True
In che strutture è consentito l'utilizzo di educatori elettrici?,"L'uso degli educatori elettrici è consentito esclusivamente in strutture già progettate per il loro utilizzo, dove sono fondamentali per garantire l'igiene e il benessere degli animali. È importante che tali dispositivi non siano posizionati a meno di 5 cm dagli animali in stazione eretta e non devono essere utilizzati sugli animali nell'ultimo mese di gravidanza. Inoltre, l'autorità competente deve stabilire limiti riguardanti l'intensità delle scariche elettriche, la durata e le procedure operative.","Gli educatori elettrici dovrebbero essere impiegati esclusivamente in strutture già progettate per il loro utilizzo, dove sono fondamentali per garantire l’igiene e il benessere degli animali. In ogni caso, l'autorità competente che concede l'autorizzazione per l'uso di educatori elettrici deve stabilire dei limiti.",1.0,0.7416,0.9207,1.0,0.8414,OK,True
Qual è la definizione di operatore ai sensi del Regolamento UE 429/2016?,"Ai sensi del Regolamento UE 429/2016, l'operatore è definito come ""qualsiasi persona fisica o giuridica responsabile della gestione di animali o prodotti, anche per un periodo limitato"", ad eccezione dei detentori di animali da compagnia e dei veterinari.","Ai sensi del Regolamento UE 429/2016, l'operatore è definito come qualsiasi persona fisica o giuridica responsabile della gestione di animali o prodotti, anche per un periodo limitato, ad eccezione dei detentori di animali da compagnia e dei veterinari.",1.0,0.9248,0.6667,1.0,0.9986,OK,True
Dove trovo la sezione dell'operatore e dei suoi delegati?,"Puoi trovare la sezione ""OPERATORE E SUOI DELEGATI"" sul sito www.classyfarm.it. In questa sezione sono forniti dettagli sul percorso da seguire e sui documenti da compilare e caricare su ClassyFarm per ottenere l'autorizzazione all'accesso come operatore o delegato. 

In particolare, per la richiesta di accesso con la qualifica di Delegato da parte di più operatori, è necessario redigere e inviare la richiesta al Ministero della Salute, con copia conoscenza all'indirizzo email [EMAIL_RIMOSSO]. Le modalità e la documentazione necessaria sono disponibili nella stessa sezione. 

Per il Delegato da singolo operatore, la richiesta deve essere inviata anch'essa al Ministero della Salute, con copia conoscenza a [EMAIL_RIMOSSO], seguendo le indicazioni presenti nella sezione ""OPERATORE E SUOI DELEGATI"".","La sezione è disponibile sul sito www.classyfarm.it alla voce ""Operatore e i suoi Delegati"".",1.0,0.5262,0.8644,1.0,0.3173,OK,True
Come si accede ai cruscotti interattivi di ClassyFarm?,"Per accedere ai cruscotti interattivi di ClassyFarm, segui questi passaggi:

1. Accedi all'area riservata di VETINFO (www.vetinfo.it) utilizzando le tue credenziali di accesso (username e password, SPID o CNS) attraverso il browser Google Chrome.
2. Seleziona l'opzione ""ClassyFarm"".
3. Scegli ""ClassyFarm 2.0"".
4. Seleziona il tuo PROFILO.
5. Clicca su ""Dashboard"".

Inoltre, puoi consultare la GUIDA AI CRUSCOTTI INTERATTIVI al seguente link: www.classyfarm.it.","Per accedere ai cruscotti interattivi è necessario: 1) accedere a Vetinfo, 2) selezionare ClassyFarm → ClassyFarm 2.0, 3) selezionare il proprio profilo, 4) cliccare su ""Dashboard"".",1.0,0.6061,1.0,1.0,0.8742,OK,True
Cosa devo fare per nominare un delegato da singolo operatore?,"Per nominare un delegato da singolo operatore, segui questi passaggi:

1. Redigi la richiesta di accesso con la qualifica di Delegato da singolo operatore.
2. Invia la richiesta al Ministero della Salute, con copia conoscenza all'indirizzo [[EMAIL_RIMOSSO]](mailto:[EMAIL_RIMOSSO]).
3. Assicurati di includere la documentazione necessaria, che puoi trovare nella sezione ""OPERATORE E SUOI DELEGATI"" sul sito [www.classyfarm.it](http://www.classyfarm.it).
4. Il Delegato è tenuto a comunicare la cessazione della delega attraverso i canali sopra indicati.

Per ulteriori dettagli, consulta la guida disponibile sul sito.","Devi compilare la richiesta di accesso con la qualifica di Delegato da singolo operatore e inviarla al Ministero della Salute, con copia conoscenza a info@classyfarm.it, seguendo le modalità e la documentazione descritte nella sezione ""Operatore e i suoi Delegati"" sul sito www.classyfarm.it.",1.0,0.9075,0.9325,1.0,0.8057,EMAIL_MISMATCH,True
Come posso selezionare il veterinario aziendale in ClassyFarm?,"Per selezionare il Veterinario Aziendale in ClassyFarm, segui questi passaggi:

1. Accedi a VETINFO.
2. Seleziona ""ClassyFarm"" e poi ""ClassyFarm 2.0"".
3. Seleziona il tuo PROFILO.
   1. Clicca su ""Selezione Veterinario Aziendale"".
   2. Nella sezione ""Dottore"", clicca, cerca e seleziona il professionista abilitato.
   **Nota Bene:** Il Veterinario Aziendale dovrà validare e caricare la documentazione come indicato nella guida specifica.
   3. Clicca su ""Conferma"".
   **Nota Bene:** Per revocare la nomina, clicca sull'icona di revoca e poi su ""Conferma"".

Assicurati di seguire questi passaggi attentamente per completare la selezione o la revoca del Veterinario Aziendale.","Dopo aver effettuato l'accesso a ClassyFarm (o ClassyFarm 2.0) e selezionato il profilo, clicca su ""Selezione Veterinario Aziendale"", quindi cerca e seleziona il professionista abilitato nella sezione ""Dottore"" e conferma. Il veterinario aziendale dovrà poi validare e caricare la documentazione richiesta.",1.0,0.9148,0.7798,1.0,0.8811,OK,True
Come accedo all'area riservata di Vetinfo?,"Per accedere all'area riservata di VETINFO, segui questi passaggi:

1. Visita il sito [www.vetinfo.it](https://www.vetinfo.it/).
2. Clicca su ""ACCEDI all’Area riservata"".
3. Inserisci le tue credenziali di accesso (Username e Password).
4. Dopo aver effettuato l'accesso, seleziona l'opzione ""ClassyFarm"" per procedere.","Per accedere all'area riservata di Vetinfo devi collegarti al sito https://www.vetinfo.it/, cliccare su ""ACCEDI all’Area riservata"" e inserire le credenziali di accesso rilasciate dal Sistema Veterinario Informativo (credenziali Vetinfo).",1.0,0.7574,0.6845,1.0,0.6779,OK,True
